from,to,year,relationship
bohnerth,exxonmobil,2009,8
bohnerth,exxonmobil,2010,8
bohnerth,exxonmobil,2011,8
bohnerth,exxonmobil,2012,8
bohnerth,exxonmobil,2013,8
bohnerth,iu_erfurt,2012,3
bohnerth,iu_erfurt,2013,3
bohnerth,iu_erfurt,2014,3
bohnerth,johannsen_kretschmer,2014,7
bohnerth,johannsen_kretschmer,2015,7
bohnerth,lifesize,2019,9
bohnerth,lifesize,2020,9
bohnerth,lifesize,2021,9
bohnerth,lifesize,2022,9
bohnerth,nordakademie,2008,2
bohnerth,nordakademie,2009,2
bohnerth,nordakademie,2010,2
bohnerth,nordakademie,2011,2
bohnerth,nordakademie,2012,2
bohnerth,prasino,2016,10
bohnerth,prasino,2017,10
bohnerth,prasino,2018,10
bohnerth,prasino,2019,10
bohnerth,prasino,2020,10
bohnerth,prasino,2021,10
bohnerth,prasino,2022,10
bohnerth,rocket_internet,2015,9
bohnerth,rocket_internet,2016,9
bohnerth,uni_california,2010,4
bohnerth,uni_uppsala,2013,3
bohnerth,uni_uppsala,2014,3
bohnerth,uni_uppsala,2015,3
bohnerth,wmp_eurocom,2016,10
bohnerth,wmp_eurocom,2017,10
bohnerth,wmp_eurocom,2018,10
bohnerth,wmp_eurocom,2019,10
bolzenius,albrink,,17
bolzenius,bolzenius_s,,17
bolzenius,bolzenius_s,,16
bolzenius,dievision,2018,9
bolzenius,dievision,2019,9
bolzenius,dievision,2020,9
bolzenius,fh_mittelstand,2021,15
bolzenius,fh_mittelstand,2022,15
bolzenius,fh_mittelstand,2014,2
bolzenius,fh_mittelstand,2015,2
bolzenius,fh_mittelstand,2016,2
bolzenius,fh_mittelstand,2017,2
bolzenius,johannmeier,,17
bolzenius,trailblazers,2020,12
bolzenius,trailblazers,2021,12
bolzenius,trailblazers,2022,12
bolzenius_s,bolzwest,,12
bolzenius_s,fh_muenster,,20
bott,lufthansa,,9
bott,tu_darmstadt,,20
brand,hs_worms,,20
brand,lufthansa,,9
brauer,burda_media,2016,7
brauer,edeka,2020,9
brauer,edeka,2021,9
brauer,fischerappelt,2018,8
brauer,fischerappelt,2019,8
brauer,fischerappelt,2019,9
brauer,fischerappelt,2020,9
brauer,freelance,2017,10
brauer,freelance,2018,10
brauer,freelance,2019,10
brauer,freelance,2020,10
brauer,freelance,2021,10
brauer,freelance,2022,10
brauer,funke,2017,10
brauer,funke,2018,10
brauer,funke,2019,10
brauer,funke,2020,10
brauer,loreal,2014,7
brauer,loreal,2015,7
brauer,operamrhein,2012,9
brauer,operamrhein,2013,9
brauer,operamrhein,2014,9
brauer,operamrhein,2015,9
brauer,syzygy,2022,9
brauer,uni_duesseldorf,2010,2
brauer,uni_duesseldorf,2011,2
brauer,uni_duesseldorf,2012,2
brauer,uni_duesseldorf,2013,2
brauer,uni_duesseldorf,2014,3
brauer,uni_duesseldorf,2015,3
brauer,uni_duesseldorf,2016,3
brauer,uni_duesseldorf,2017,3
brauer,wdr,2012,7
brauer,wdr,2013,7
brauer,wdr,2014,7
brinkmann,bruj,,9
brinkmann,fom,,2
brockhaus,akademische_gesellschaft,2017,7
brockhaus,akademische_gesellschaft,2018,7
brockhaus,akademische_gesellschaft,2019,7
brockhaus,akademische_gesellschaft,2020,7
brockhaus,akademische_gesellschaft,2020,9
brockhaus,akademische_gesellschaft,2021,9
brockhaus,campusrelations,2013,11
brockhaus,campusrelations,2014,11
brockhaus,campusrelations,2015,11
brockhaus,dprg,2017,11
brockhaus,dprg,2018,11
brockhaus,dprg,2019,11
brockhaus,dprg,2020,11
brockhaus,dprg,2021,11
brockhaus,dprg,2022,11
brockhaus,lmv_versicherung,2014,7
brockhaus,lmv_versicherung,2015,7
brockhaus,lmv_versicherung,2016,7
brockhaus,lmv_versicherung,2017,7
brockhaus,lprs,2017,11
brockhaus,lprs,2018,13
brockhaus,lprs,2019,13
brockhaus,lprs,2020,11
brockhaus,lprs,2021,11
brockhaus,lprs,2022,11
brockhaus,uni_hongkong,2018,4
brockhaus,uni_leipzig,2017,3
brockhaus,uni_leipzig,2018,3
brockhaus,uni_leipzig,2019,3
brockhaus,uni_leipzig,2020,3
brockhaus,uni_leipzig,2020,5
brockhaus,uni_leipzig,2021,5
brockhaus,uni_leipzig,2022,5
brockhaus,uni_lund,2019,7
brockhaus,uni_muenster,2013,2
brockhaus,uni_muenster,2014,2
brockhaus,uni_muenster,2015,2
brockhaus,uni_muenster,2016,2
brockhaus,uni_muenster,2017,2
brockhaus,volkswagen,2015,7
brockhaus,volkswagen,2016,7
bruebach,deutschepost,2011,7
bruebach,deutschepost,2012,7
bruebach,deutschepost,2013,7
bruebach,deutschepost,2014,7
bruebach,deutschepost,2015,7
bruebach,dhbw,2011,2
bruebach,dhbw,2012,2
bruebach,dhbw,2013,2
bruebach,dhbw,2014,2
bruebach,dhbw,2015,2
bruebach,duravit,2022,9
bruebach,edelman,2016,8
bruebach,edelman,2017,8
bruebach,messe_stuttgart,2018,9
bruebach,messe_stuttgart,2019,9
bruebach,messe_stuttgart,2020,9
bruebach,messe_stuttgart,2021,9
bruebach,uni_krems,2015,3
bruebach,uni_krems,2016,3
bruebach,uni_krems,2017,3
bruebach,uni_krems,2018,3
bruebach,uni_krems,2019,3
bruebach,uni_krems,2020,3
bruebach,uni_krems,2021,3
bruebach,uni_krems,2022,3
bruebach,wmf,2017,9
buetow,dfjw,,9
cagferoglu,esport,2020,9
cagferoglu,esport,2021,9
cagferoglu,esport,2022,9
cagferoglu,hmkw,2011,2
cagferoglu,hmkw,2012,2
cagferoglu,hmkw,2013,2
cagferoglu,hmkw,2014,2
cagferoglu,hmkw,2015,2
cagferoglu,hmkw,2016,2
cagferoglu,hmkw,2017,2
cagferoglu,ted,2020,10
cagferoglu,ted,2021,10
cagferoglu,ted,2022,10
cagferoglu,unicepta,2015,9
cagferoglu,unicepta,2016,9
cagferoglu,unicepta,2017,9
cagferoglu,unicepta,2018,9
cagferoglu,unicepta,2019,9
cagferoglu,zurich,2013,7
casselmann,fti_consulting,,9
casselmann,fu_berlin,,2
casselmann,hwr_berlin,,3
cerami,audi,2014,7
cerami,bilfinger,2011,7
cerami,bilfinger,2012,7
cerami,bundespresseamt,2011,7
cerami,edelman,2013,7
cerami,epilog,2013,9
cerami,epilog,2014,9
cerami,fischerappelt,2014,9
cerami,fischerappelt,2015,9
cerami,hyundai,2015,9
cerami,hyundai,2016,9
cerami,hyundai,2017,9
cerami,hyundai,2018,9
cerami,hyundai,2019,9
cerami,pepsi,2019,9
cerami,pepsi,2020,9
cerami,pepsi,2021,9
cerami,pepsi,2022,9
cerami,rheinzeitung,2010,10
cerami,rheinzeitung,2011,10
cerami,uni_mainz,2009,2
cerami,uni_mainz,2010,2
cerami,uni_mainz,2011,2
cerami,uni_mainz,2012,2
cerami,uni_mandela,2011,4
cerami,uni_weimar,2012,7
cerami,uni_weimar,2013,7
cerami,uni_weimar,2014,7
cerami,uni_weimar,2012,3
cerami,uni_weimar,2013,3
cerami,uni_weimar,2014,3
cerami,zdf,2010,7
cerami,zdf,2011,7
cerami,zdf,2012,7
cheranti,30friends,2020,13
cheranti,30friends,2021,13
cheranti,30friends,2022,13
cheranti,manpower,2013,9
cheranti,telekom,2011,9
cheranti,telekom,2012,9
cheranti,telekom,2013,9
cheranti,telekom,2014,9
cheranti,telekom,2015,9
cheranti,telekom,2016,9
cheranti,telekom,2017,9
cheranti,telekom,2018,9
cheranti,telekom,2019,9
cheranti,telekom,2020,9
cheranti,telekom,2021,9
cheranti,telekom,2022,9
cheranti,toenjes,,17
cheranti,uni_kiel,2014,2
cheranti,uni_kiel,2015,2
cheranti,uni_kiel,2016,2
cheranti,uni_kiel,2017,2
cheranti,uni_kiel,2018,2
classen,3m,2015,9
classen,3m,2016,9
classen,ddb,2017,9
classen,ddb,2018,9
classen,ddb,2019,9
classen,ddb,2020,9
classen,ddcomm,2012,7
classen,ddcomm,2013,7
classen,grey,2016,9
classen,grey,2017,9
classen,hs_mediadesign,2011,2
classen,hs_mediadesign,2012,2
classen,hs_mediadesign,2013,2
classen,hs_mediadesign,2014,2
classen,inditex,2014,7
classen,linne,,17
classen,mercedes,2008,7
classen,pietsch,,17
classen,pwc,2020,9
classen,pwc,2021,9
classen,pwc,2022,9
cleve,berndgmbh,,9
corsani,convensis,,9
da_costa_zuzarte,buendnis90,2021,9
da_costa_zuzarte,buendnis90,2022,9
da_costa_zuzarte,depak,2020,6
da_costa_zuzarte,hs_quadriga,2020,3
da_costa_zuzarte,hs_quadriga,2021,3
da_costa_zuzarte,hs_quadriga,2019,6
da_costa_zuzarte,k12,2018,9
da_costa_zuzarte,k12,2019,9
da_costa_zuzarte,k12,2020,9
da_costa_zuzarte,k12,2021,9
da_costa_zuzarte,kepp,,17
da_costa_zuzarte,legio,2017,10
da_costa_zuzarte,legio,2018,10
da_costa_zuzarte,legio,2019,10
da_costa_zuzarte,legio,2020,10
da_costa_zuzarte,legio,2021,10
da_costa_zuzarte,legio,2022,10
da_costa_zuzarte,muelhausmoers,2016,8
da_costa_zuzarte,muelhausmoers,2017,8
da_costa_zuzarte,muelhausmoers,2018,8
da_costa_zuzarte,oliverschrott,2022,9
da_costa_zuzarte,radio_siegen,2014,9
da_costa_zuzarte,radio_siegen,2015,9
da_costa_zuzarte,radio_siegen,2016,9
da_costa_zuzarte,uni_siegen,2012,2
da_costa_zuzarte,uni_siegen,2013,2
da_costa_zuzarte,uni_siegen,2014,2
da_costa_zuzarte,uni_siegen,2015,2
da_costa_zuzarte,uni_siegen,2016,2
da_costa_zuzarte,wdr,2014,7
da_costa_zuzarte,westfaelische,2012,10
da_costa_zuzarte,westfaelische,2013,10
da_costa_zuzarte,westfalenpost,2012,10
da_costa_zuzarte,westfalenpost,2013,10
da_costa_zuzarte,wirtschaftsforum_verlag,2016,10
da_costa_zuzarte,wirtschaftsforum_verlag,2017,10
da_costa_zuzarte,wirtschaftsforum_verlag,2018,10
da_costa_zuzarte,wirtschaftsforum_verlag,2019,10
da_costa_zuzarte,wirtschaftsforum_verlag,2020,10
de_koster,balkmann,,17
de_koster,benndorf,,17
de_koster,goldenezwanziger,2016,11
de_koster,goldenezwanziger,2017,11
de_koster,hospiz,2014,7
de_koster,hospiz,2015,7
de_koster,jpkom,2018,8
de_koster,jpkom,2019,8
de_koster,jpkom,2020,9
de_koster,krings,,17
de_koster,landtag_nrw,2015,7
de_koster,ressourcenmangel,2020,9
de_koster,ressourcenmangel,2021,9
de_koster,ressourcenmangel,2022,9
de_koster,siegener_zeitung,2014,7
de_koster,siegener_zeitung,2014,10
de_koster,siegener_zeitung,2015,10
de_koster,siegener_zeitung,2016,10
de_koster,siegener_zeitung,2017,10
de_koster,siegener_zeitung,2018,10
de_koster,uni_jena,2015,3
de_koster,uni_jena,2016,3
de_koster,uni_jena,2017,3
de_koster,uni_jena,2018,3
de_koster,uni_siegen,2013,7
de_koster,uni_siegen,2014,7
de_koster,uni_siegen,2015,7
de_koster,uni_siegen,2016,7
de_koster,uni_siegen,2017,7
de_koster,uni_siegen,2018,7
de_koster,uni_siegen,2012,2
de_koster,uni_siegen,2013,2
de_koster,uni_siegen,2014,2
de_koster,uni_siegen,2015,2
de_koster,zdf,2015,7
debowska,dprg,,11
debowska,franz,,17
debowska,helpling,2015,7
debowska,helpling,2016,7
debowska,helpling,2016,9
debowska,helpling,2017,9
debowska,helpling,2018,9
debowska,mindhaft,2014,12
debowska,mindhaft,2015,12
debowska,mindhaft,2016,12
debowska,mindhaft,2017,12
debowska,styles,,17
debowska,tezcan,,17
debowska,tu_dresden,2014,7
debowska,tu_dresden,2015,7
debowska,tu_dresden,2012,2
debowska,tu_dresden,2013,2
debowska,tu_dresden,2014,2
debowska,tu_dresden,2015,2
debowska,tu_dresden,2016,2
debowska,uni_krakau,2015,4
debowska,whu_management,2020,3
debowska,whu_management,2021,3
debowska,witzmann,,17
debowska,zalando,2018,9
debowska,zalando,2019,9
debowska,zalando,2020,9
debowska,zalando,2021,9
debowska,zalando,2022,9
dehn,edelman,2011,7
dehn,hs_hannover,2009,2
dehn,hs_hannover,2010,2
dehn,hs_hannover,2011,2
dehn,hs_hannover,2012,2
dehn,hs_hannover,2012,3
dehn,hs_hannover,2013,3
dehn,hs_hannover,2014,3
dehn,hs_hannover,2015,3
dehn,acad_arts,2009,2
dehn,prsh,2012,11
dehn,prsh,2013,11
dehn,prsh,2014,11
dehn,prsh,2015,11
dehn,rckt,2015,8
dehn,rckt,2016,8
dehn,rckt,2016,9
dehn,rckt,2017,9
dehn,rckt,2018,9
dehn,rckt,2019,9
dehn,rckt,2020,9
dehn,rckt,2021,9
dehn,rckt,2022,9
dehn,richterrubber,2014,7
deki,aarp,2014,7
deki,american_university,2014,4
deki,commerzbank,2012,7
deki,fischerappelt,2015,7
deki,fleishmanhillard,2018,8
deki,fleishmanhillard,2019,9
deki,fleishmanhillard,2020,9
deki,fleishmanhillard,2021,9
deki,heitmueller,,17
deki,intermedix,2022,9
deki,kaffeetoro,2012,7
deki,officeclub,2017,7
deki,start,2012,14
deki,start,2013,14
deki,start,2014,14
deki,start,2015,14
deki,start,2016,14
deki,uni_viadrina,2013,2
deki,uni_viadrina,2014,2
deki,uni_viadrina,2015,2
deki,uni_viadrina,2016,2
deki,uni_viadrina,2017,2
deki,zeitstiftung,,14
deutschenbaur,porsche,,9
deutschenbaur,uni_hohenheim,,3
deutschenbaur,uni_muenster,,2
diaz,fu_berlin,,3
diaz,gwa,,13
diaz,ressourcenmangel,,9
diebold,suedwesttextil,,9
doepke,edelman,2015,7
doepke,emsland,2016,14
doepke,emsland,2017,14
doepke,hs_osnabrueck,2018,9
doepke,hs_osnabrueck,2019,9
doepke,hs_osnabrueck,2020,9
doepke,hs_osnabrueck,2021,9
doepke,hs_osnabrueck,2022,9
doepke,hs_osnabrueck,2014,2
doepke,hs_osnabrueck,2015,2
doepke,hs_osnabrueck,2016,2
doepke,hs_osnabrueck,2017,2
doepke,kommunikos,2017,13
doepke,kommunikos,2018,13
doepke,kommunikos,2019,13
doepke,kommunikos,2020,13
doepke,kommunikos,2021,13
doepke,kommunikos,2022,13
doepke,landesstipendium_niedersachsen,2015,14
doepke,telekom,2011,1
doepke,telekom,2012,1
doepke,telekom,2013,1
doepke,telekom,2014,1
doepke,volkswagen,2016,7
dries,finsbury,,9
dries,uni_wuerzburg,,20
drobnitzky,fu_berlin,,2
drobnitzky,scholzfriends,,9
drobnitzky,sciencespo_paris,,3
drzymala,daimler,,9
drzymala,uni_mannheim,,20
duechting,computacenter,,9
duechting,uni_bonn,,20
eckelmann,muydozo,,12
eckelmann,uni_goettingen,,21
eckelmann,uni_hamburg,,21
eichner,we_communications,,9
eisingerich,imperialcollege,,5
eisingerich,imperialcollege,,15
eisingerich,lse_london,,2
elbarkani,deutschebank,2014,7
elbarkani,fraport,2010,7
elbarkani,fraport,2011,7
elbarkani,finsbury,2016,9
elbarkani,finsbury,2017,9
elbarkani,finsbury,2018,9
elbarkani,hundm,2019,9
elbarkani,hundm,2020,9
elbarkani,hundm,2021,9
elbarkani,hundm,2022,9
elbarkani,mccann,2012,7
elbarkani,mccann,2013,7
elbarkani,nike,2013,7
elbarkani,thirdculture,2018,9
elbarkani,thirdculture,2019,9
elbarkani,thirdculture,2020,9
elbarkani,thirdculture,2021,9
elbarkani,uni_frankfurt,2010,19
elbarkani,uni_frankfurt,2011,19
elbarkani,uni_frankfurt,2012,19
elbarkani,uni_frankfurt,2013,19
elbarkani,uni_frankfurt,2014,19
elbarkani,uni_frankfurt,2015,19
elci,alnews,2013,7
elci,lse_london,2015,3
elci,lse_london,2016,3
elci,rex_features,2014,7
elci,sundaytimes,2014,7
elci,turkuvaz,2013,7
elci,ual_london,2011,2
elci,ual_london,2012,2
elci,ual_london,2013,2
elci,ual_london,2014,2
elci,ual_london,2015,2
elci,undp,2016,7
elci,undp,2017,7
elci,weltwirtschaftsforum,2018,7
elci,weltwirtschaftsforum,2018,9
elci,weltwirtschaftsforum,2019,9
elci,weltwirtschaftsforum,2020,9
elci,weltwirtschaftsforum,2021,9
elci,weltwirtschaftsforum,2022,9
elci,worldbank,2017,9
elci,worldbank,2018,9
ellerbeck,tui,,9
engelien,dprg,,11
engelien,dprg,,13
engelien,uni_bonn,,21
engelien,zurich,,9
englert,commerzbank,2016,7
englert,commerzbank,2017,7
englert,fh_wuerzburg,2017,7
englert,fh_wuerzburg,2014,2
englert,fh_wuerzburg,2015,2
englert,fh_wuerzburg,2016,2
englert,fh_wuerzburg,2017,2
englert,fh_wuerzburg,2018,2
englert,heraeus,2018,7
englert,ringwald,,17
englert,rollsroyce,2018,8
englert,rollsroyce,2019,8
englert,rollsroyce,2020,8
englert,schaeffler_group,2020,9
englert,schumacher,,17
englert,stada,2021,9
englert,stada,2022,9
englert,uni_turiba,2018,4
erdmeier,bredow_institut,2013,7
erdmeier,bredow_institut,2014,7
